제목 형태소,본문 형태소
"['이', '얼굴', '게이', '연기']","['내', '주변', '게이']"
"['키', '거', '짜증', '남']","['나', '키', '마르', '상관', '조금', '존나', '부', '덩치', '보', '스트레스', '거기', '다가', '가슴', '살', '찌', '아줌마', '키', '무조건', '말라야']"
"['몸', '진짜', '전남친', '자꾸']","['사실', '전남친', '남친', '사실', '오빠', '호감', '가장', '이유', '날티', '안나', '지적', '외모', '반전', '얼굴', '진짜', '관리', '보기', '몸', '손발톱', '제모', '항상', '몸', '관리', '때문', '오빠', '취업', '부업', '일', '면서', '평일', '주말', '데이트', '얼굴', '보기', '날', '계속', '외로워', '헤어지자', '뒤', '다른사람', '또', '지금', '남친', '오빠', '이유', '전남친', '남친', '그냥', '운동', '진짜', '우리나라', '남자', '평균', '몸', '지금', '남자', '오빠', '진짜', '면', '옆', '걷기', '만해', '여자', '한번', '흘끔', '거리', '게', '때', '우월감', '자기', '관리', '남자', '장점', '오빠', '자주', '침대', '그냥', '지금', '연애', '사람', '말', '술김', '의미', '알', '그냥', '침대', '소파', '위', '거리', '면서', '티비', '손', '오빠', '복근', '질문', '그', '감촉', '그냥', '오빠', '바로', '전남친', '남친', '사랑', '그냥', '요즘', '자꾸', '오빠', '꿈', '가끔', '미련']"
"['독립', '딸', '집', '비밀번호', '내용', '추가']","['고민', '만', '중반', '대학생', '딸', '최근', '독립', '집', '비밀번호', '달라', '하니', '하루', '전', '연락', '오라', '원래', '내', '딸', '집', '허락', '얘기', '엄마', '내', '방', '방문', '그때', '엄', '엄마', '집', '독립', '독립', '기분', '답', '말', '걱정', '감정', '격해', '나중', '얘기', '피', '상태', '타협', '점', '선', '조언', '내용', '추가', '집', '비밀번호', '달라', '건', '년', '전', '딸', '응급', '수술', '상황', '처음', '원인', '구급차', '딸애', '휴대폰', '온', '전화', '갑자기', '이유', '알', '친구', '안', '머리', '얘기', '연락', '걱정', '혹시', '기억', '조차', '의학', '드라마', '말', '실제', '의사', '분', '수술', '중', '마음', '준비', '하라', '그', '후', '달', '정도', '중환자실', '수술', '한지', '주', '후', '눈', '떳습니', '그때', '딸애', '폰', '노트북', '비번', '못', '고생', '기억', '학기', '초', '휴학', '신청', '것', '혹시', '그', '친구', '연락', '친구', '비번', '알', '덕분', '휴학', '신청', '완료', '또한', '지금', '추적', '관찰', '병', '그땐', '목숨', '위태', '워', '응급', '조치', '거', '월', '달', '수술', '다시', '년', '더']"
"['배민', '리뷰', '레전드']",[]
"['재현', '말투']","['사실', '별거']"
"['후기', '간편식', '명절', '음식', '준비', '새', '언니', '떡', '요']","['후기', '마음', '글', '분', '댓글', '좀', '여러', '사람', '말', '생각', '기도', '욕', '좀', '기분', '제', '행동', '누짓', '분', '저', '정말', '언니', '깝', '생각', '게', '약간', '변명', '변명', '하자', '저희', '엄마', '제사', '명절', '음식', '가짓수', '직접', '것', '정성', '그게', '주', '말', '혹시', '엄마', '알', '큰일', '날', '것', '정말', '걱정', '마음', '것', '것', '못', '분', '어차피', '제', '의도', '뭐', '자기', '것', '더', '말', '안', '언니', '오빠', '일', '것', '건아', '예', '생각', '부분', '수도', '기도', '남편', '하자', '고해', '수', '이건', '뭐', '제', '결혼', '안해', '백만원', '걸', '오빠', '엄마', '전화', '너희', '고생', '엄마', '돈', '백정', '말', '오빠', '알', '언니', '오빠', '말', '속', '보기', '안', '건', '결혼', '전', '엄마', '거짓말', '치', '돈', '적', '그냥', '그거', '때문', '별로', '다라', '식', '후기', '후기', '적자', '저', '엄마', '말', '생각', '그냥', '생각', '댓글', '대부분', '의견', '저', '앞', '오빠', '부모님', '일', '그냥', '신경', '구', '언니', '저', '행동', '하나', '하나', '부담', '일', '수', '것', '모두', '추석', '여기', '결혼', '분', '이용', '게시판', '미혼', '글', '글', '이유', '저희', '때문', '제', '제발', '저희', '오빠', '작년', '초', '결혼', '결혼', '얼마', '코로나', '가족', '다', '횟수', '줄', '새', '우릴', '것', '안부', '연락', '오빠', '언니', '대학병원', '간호사', '날', '것', '교대근무', '돈다', '저희', '집', '년', '총', '번의', '제사', '할아버지', '제사', '좀', '명절', '번', '말', '명절', '음식', '부', '음식', '일정', '요새', '직업', '결혼', '한지', '얼마', '서손', '요리', '엄마', '언니', '부담', '주지', '우리', '둘', '하자', '여지', '껏', '참고', '저희', '여자', '음식', '아빠', '손재주', '밀가루', '물', '푸시', '거', '설거지', '전담', '이번', '추석', '오빠', '차', '접종', '완료', '엄마', '오빠', '집', '마침', '언니', '추석', '말', '제대로', '참석', '명절', '이번', '처음', '것', '명절', '음식', '언니', '준비', '엄마', '저', '올해', '것', '양', '양인', '오빠', '언니', '혼자', '것', '부담', '제', '오빠', '연락', '오빠', '계속', '언니', '요즘', '말', '간편', '음식', '걸', '전부', '준비', '테', '엄마', '절대', '말', '저', '도저히', '이해', '가지', '저희', '단', '한번', '언니', '음식', '준비', '스트레스', '적', '것', '왜', '저런', '거짓말', '가끔', '안부', '인사', '집', '때', '주방', '못', '저', '그냥', '엄마', '다시', '말', '음식', '준비', '게', '것', '언니', '말', '제', '엄마', '사실', '말', '고자질', '상황', '나중', '언니', '얼굴', '보기', '좀', '것', '엄마', '언니', '혼자', '음식', '준비', '엄마', '오빠', '돈', '만원', '줄', '생각', '것', '엄마', '속', '돈', '보기', '저']"
"['시', '할머니', '분', '아내', '왜', '남편']","['토욜날', '하루', '종일', '할머니', '외할머니', '보고', '저희', '결혼', '결혼', '전', '명절', '스케쥴', '약속', '이해', '수요일', '시부모', '어제', '제', '아침', '외출', '순간', '기운', '왜', '제', '좀', '햇', '더니', '잠', '또', '외출', '후', '때', '진짜', '지하철', '남편', '햇', '더니', '약간', '기분', '상한', '듯왜', '수요일', '날', '저녁', '시댁', '가기', '햇', '자기', '엄마', '저', '배', '려', '거래', '기회', '친정', '월욜', '저녁', '시댁', '스케쥴', '배', '뭘', '배려', '남편', '친구', '집들이', '때문', '하루', '종일', '제', '요리', '하루', '날', '하루', '종일', '아공', '짜증', '투', '남편', '거의', '짜증', '안내', '요하', '잠', '자', '시댁', '가면', '얘', '토욜', '잠', '자', '맞벌이', '결혼', '나제', '그날', '연가', '치면', '얘', '오늘', '연가', '고제', '술', '달', '한번', '때', '남편', '번은', '제', '한번', '남편', '땜', '일부러', '정신', '꼬', '적', '고요한', '번', '저', '남편', '술', '잔', '잔', '이상', '거의', '반년', '한번', '용', '시아버지', '저', '술', '남편', '얘술', '시어머니', '어머', '그때', '자기', '매일', '때', '남편', '살', '늘', '도해', '걸', '오히려', '여기', '자기', '배려', '햇', '고', '진심', '우울증', '걸', '거', '정신', '남편', '이유', '뭐', '남자', '보신', '남자', '요', '이제', '누가', '건', '거', '요원', '뭘', '저', '개', '건', '순위', '여제', '볼', '때', '나르시시스트']"
"['나', '비만', '혐오', '추반']","['사람', '보기', '사람', '보고', '왜', '살', '란', '생각', '적', '비만', '혐오', '추', '비만', '혐오', '안', '다반', '나', '조금', '거', '말', '속', '생각', '뷰티', '톡']"
"['카리나', '로', '선물', '줫', '봄']","['악', '내', '무슨', '세상', '사람', '모두', '이', '소식', '당장', '대박', '대박', '지랄', '것', '그냥', '대박', '그게', '대박', '너', '친구']"
"['빅톤', '팬', '예전', '게']","['일단', '난', '타팬', '빅톤팬', '친구', '판', '글', '등등', '궁금증', '생기', '예전', '빅톤', '살짝', '간', '갑자기', '팬덤', '분위기', '타팬', '인증', '항상', '빅톤', '관련', '판', '글', '멤버', '차별', '소속사', '대우', '글', '팬덤', '싸움', '심해', '누구', '팬', '누가', '글', '팬톡', '얘기', '보아', '팬톡', '물', '터', '만', '글', '것', '일단', '난', '지금', '것', '상태', '몇몇', '일', '친구', '판', '거', '회사', '승', '최병찬', '배척', '팬', '그', '둘', '배척', '사람', '좀', '무조건', '개인', '팬', '이유', '잘못', '간다', '뭐', '프듀팬들', '유난', '저', '둘', '코디', '개', '외', '회사', '팬', '건의', '사항', '금', '팬', '서로', '입', '등등', '서로', '왜', '프듀', '때', '가족', '면서', '가족', '분위기', '영업', '팬덤', '갑자기', '사이', '진짜', '개', '간', '때', '프듀멤들', '이용', '타', '지금', '성과', '능력', '그룹', '팬', '개인', '팬', '이유', '오직', '개인', '팬', '어서', '거', '개인', '자유', '엔터', '정신병', '것']"
"['투바', '투', '준', '다이어트', '후기']","['투바', '투', '준', '낮', '거', '보고', '낮', '홈트', '아침', '분', '밤', '분', '중간', '중간', '애', '산책', '일만', '키', '그동안', '바', '날', '뭔가', '날', '간', '지금', '그때', '저녁', '뭐', '얼굴', '배쪽', '엉덩이', '쪽', '오늘', '일차', '점심', '대패', '삼겹살', '찌', '밥머금', '더', '요요', '오기', '난', '급식', '저녁', '샐러드', '유지', '점점', '일반', '처음', '일일', '정도', '그', '다음', '난', '지금', '당근', '치킨', '탕', '뭔가', '그때', '만큼', '식욕', '막', '돌진']"
"['슈가', '얼굴', '뭐']","['핑크색', '머리', '뭐', '진짜', '뭐', '이', '뭐', '하늘색', '거', '뭐', '요정']"
"['스테이크', '집', '원', '식사']",[]
"['최근', '역대', '인맥', '남돌']","['오타쿠', '심장', '에이', '티', '월', '날', '컴백', '더블', '타이틀', '데자부', '터널', '선샤인', '섹시', '청량', '감격', '항상', '작사', '작곡', '홍', '민기', '참여', '데자부', '섹시', '하나로', '설명', '가능', '뭘', '티즈들', '티니', '사랑', '수', '이번', '데자부', '섹시', '정점', '더블', '타이틀', '터널', '선샤인', '청춘', '대한', '소망', '표현', '청량', '탄산수', '곡', '소년', '낭낭', '개인', '이번', '앨범', '수록', '곡', '밤하늘', '이', '곡', '티즈들', '마음', '곡', '꼭', '추천', '안', '비밀', '펑펑', '이번', '타이틀곡', '투표', '때', '별', '광희', '은혁', '김종국', '노제', '신동엽', '홍윤', '김민기', '싸이', '노노', '카', '지연', '님비', '펜타토닉스', '스캇', '호잉', '등등', '연예인', '참여', '곡', '개', '임영웅', '덕질', '에이', '티', '뿌듯', '자랑', '멜론', '지니', '바이브', '벅스', '데자부', '터널', '선샤인', '컴백', '관부', '여기', '추천', '영상', '하이퍼링크', '꼭', '데자뷰', '뮤비', '밤하늘', '유희열', '스케치북', '종', '호가', '사과', '뿌시면', '노래', '다음주', '놀토', '우영', '이', '본방', '사수', '해쥬세']"
"['아내', '채팅', '만난', '유부', '남', '나잇']","['기', '차서', '손', '부들부들', '오픈', '채팅', '만난', '유부', '남', '모텔', '나잇', '사실', '알', '아내', '무수', '남자', '아내', '불륜', '유부녀', '가입', '소개팅', '어플', '통해', '오픈', '채팅', '유부', '남', '만난', '거', '자식', '살', '딸', '명', '기', '찰', '지경', '차라리', '상', '남', '명의', '남자', '바람', '것', '남자', '채팅', '심지어', '내', '잠자리', '기술', '추잡', '소리', '채팅', '아내', '오히려', '뻔', '당신', '볼품', '날', '만족', '남자', '이혼', '이혼', '다가', '애', '내', '아내', '대한', '배신', '감', '화', '기', '결혼', '생활']"
"['미국', '공항', '일', '분', '방탄']","['오', '핸드폰', '사진', '미국', '아미', '약간', '뿔', '아미', '봄']"
"['현상금', '만원', '슈퍼마리오', '버그', '비밀']",[]
"['남편', '남동생', '쌍욕']","['남편', '집안', '소사', '돈번것', '나가요', '생활비', '쥐꼬리', '부모', '형제', '한텐', '친구', '도', '이웃', '도', '정작', '처자', '신경', '요요', '번', '시어머니', '소천', '또', '그', '부대', '비용', '자기', '감당', '거', '진짜', '그', '자리', '폭발', '해', '왜', '우리', '여유', '혼자', '비용', '감당', '버', '서방', '뭐', '화가', '잔뜩', '성질', '서방', '갑자기', '욕', '을해', '대면', '지금', '자리', '난동', '도저히', '감정', '장지', '혼자', '울면', '집', '진짜']"
"['수진', '탈퇴', '다음', '날', '기사']",[]
"['방탄', '지민', '정국', '품절']","['이번', '방탄', '공항', '지민', '시계', '가방', '정국', '옷', '가방', '품절', '살수', '사람', '루이비통', '멤버', '출시', '그것', '품절']"
"['초반', '남자에게', '또래', '여자', '소개']","['살', '남자에게', '살', '여자', '소개', '후반', '오빠', '살', '남자', '중반', '해주', '또래', '여자', '너', '살인', '언니', '나이', '대지', '진짜', '피부', '과장', '안', '살로', '어디가', '면대', '남자', '애', '번호', '정도', '어차피', '보이', '나이', '상관', '나이', '연상', '남자']"
"['로제', '오늘', '양', '갈레', '머리', '슙']",['무']
"['로제', '비율', '쩐다']","['힐', '더', '저', '세상', '비율']"
"['에이', '티', '홍', '실망']","['뭐', '저리', '매일', '홍', '중이', '약간', '계열']"
"['내', '친구', '약간', '진짜', '여자', '너드', '남임']","['키', '덩치', '손', '발', '근육', '함', '연예인', '진짜', '하나', '모름', '유재석', '강호동', '아이유', '방탄', '정도', '모름', '노래', '안', '카톡', '함', '안', '봄', '가끔', '고양이', '채널', '본대', '고양이', '기타', '침', '콧대', '피부', '방', '정리', '요리', '함', '관심', '머리', '내', '미용실', '감', '학교', '인기', '모름', '친구', '별로', '쏠임', '맞춤법', '지킴', '하루', '일과', '학교', '학원', '운동', '끝', '주말', '뭐', '운동', '근육', '복근', '가끔', '어디', '친구', '워', '개그', '거', '나', '여자', '남', '거']"
"['저', '이', '쁘지', '이', '남자', '왜', '관심', '표현']",[]
"['저', '남자친구', '대화', '누가', '말', '안', '통', '건가']","['작년', '말', '상견례', '내년', '초', '결혼', '신입', '니', '코로나', '집값', '때문', '조금', '년', '지나', '결혼', '인생', '선배', '조언', '글', '제', '남편', '남친', '한번', '끝', '안나', '문제', '저', '정말', '성격', '전', '분', '사람', '한번', '격하', '최근', '년', '남친', '거의', '욕', '대화', '고혈압', '느낑', '듭니', '한번', '글', '주관', '기억', '이번', '싸움', '녹취', '싸움', '가장', '최근', '싸움', '남친', '약간', '저', '통제', '거나', '자기', '말', '개그', '행동', '저', '영향', '죻', '또한', '수용', '성격', '처음', '때', '저', '남사', '친등', '간섭', '또한', '니', '나', '도', '간섭', '그', '간섭', '예', '친', '밥', '연락', '어차피', '친구', '대신', '나', '말', '그게', '년', '월', '갑자기', '제', '처음', '동네', '친구', '알', '명절', '때', '연락', '자주', '저', '한번', '년', '지기', '친구', '친구', '원래', '경기도', '여기', '최근', '일로', '밥', '먹기', '것', '저', '저', '사람', '연락', '간섭', '왜', '이제껏', '친구', '말', '다른', '제자', '자동', '친구', '명', '이서', '밥', '저', '그날', '세명', '이서', '카페', '걸', '후', '제', '평소', '제일', '직장', '선배', '다른', '기관', '저', '업무', '후배', '소개', '서로', '자료', '공유', '하라', '점심', '연락', '선배', '후배', '남자', '제', '남친', '여기', '녹', '취한', '내용', '남', '나', '반대', '왜', '그냥', '점심', '그때', '친구', '내', '한번', '사람', '난', '그때', '알', '남', '그땐', '친구', '가설', '그냥', '명절', '때', '연락', '거', '나', '그때', '다른', '동기', '집', '때', '여자', '기한', '그때', '그거', '상황', '니야', '남', '동기', '너', '동기', '무조건', '상황', '니', '명절', '때', '연락', '동기', '상황', '다정', '나', '그냥', '직장', '후배', '남', '또', '왜', '이분법', '흑백', '논리', '말', '정당화', '왜', '말', '식대', '해석', '해나', '진짜', '열', '나', '니', '해', '대신', '무조건', '상황', '남', '필요', '그때', '그', '친구', '만날', '때', '내', '티', '넌', '친구', '터치', '안', '그때', '니', '제대로', '나남', '그때', '명절', '연락', '거', '거', '나', '그게', '차라리', '그때', '제대로', '지금', '니', '반대', '는걸', '수긍', '남', '내', '반대', '니', '라며', '남', '반대', '걱정', '후배', '나', '과제', '너', '나', '여사', '친', '남사', '친', '연락', '바로', '말', '니', '약속', '내', '그때', '니', '계속', '명절', '때', '연락', '거', '수', '계속', '마지막', '툭', '그게', '사과', '남', '툭', '내', '언제', '내', '명절', '때', '연락', '온', '전부', '너', '속인', '니', '계속', '말', '말', '먼저', '거', '나', '이상', '한소리', '왜', '가어', '쪼', '데남', '너', '왜', '식대', '로만', '생각', '왜', '왜', '이해', '왜', '옛날', '루', '로라', '오리', '류', '루', '로기', '위', '내용', '거의', '시간', '통화', '내용', '최대한', '거', '제', '결', '친', '상황', '잘못', '여부', '남친', '대화방', '위', '용이', '대부분', '때', '대화', '보통', '남친', '잘못', '해', '는', '거기', '대해', '남친', '사과', '계속', '자기', '왜', '이유', '말', '왜', '계속', '핑계', '너', '잘못', '건', '왜', '왜', '말', '식대', '로만', '생각', '말', '제', '머리', '끝', '화가', '고합', '다그', '도제', '화', '내면', '왜', '거의', '모든', '싸움', '방식', '대화', '녹취록', '보시', '등', '계속', '자기', '말', '선배', '혹시', '제', '요', '저', '일단', '잘못', '거', '대한', '사과', '계속', '남친', '먼저', '후', '자기', '사과', '실제', '여자친구', '동네', '년', '지기', '카톡대화', '저', '대화방', '말로', '표현', '이상', '니', '제', '요', '제발', '요추', '댓글', '실', '저', '녹취', '최근', '싸움', '제', '오히려', '남자', '파혼', '한상태', '거의', '싸움', '개싸움', '서로', '욕', '공격', '상황', '제', '너', '왜', '말', '바로', '집안', '파혼', '저', '정말', '제', '말', '을해', '절대', '안지', '조금', '인정', '생각', '끝', '인정', '안', '바로', '어제', '밤', '연락', '자기', '자기', '설득', '노력', '사과', '계속', '제', '화', '말', '수', '아라라', '장문', '카톡', '정말', '내', '건가', '갑자기', '글', '여러분', '덕분', '저', '파혼', '후회', '거나', '탓', '가끔', '지난', '년', '세월', '때', '이글', '위안', '댓글']"
